,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
34,9564905,php开发工程师,210159,深圳市联软科技股份有限公司,500-2000人,信息安全,A轮,开发|测试|运维类,后端开发,PHP,广州,天河区,9k-14k,不限,本科,双休；绩效奖；年终奖；下午茶；餐补；车补
35,6907413,PHP工程师,29614,杭州推宝科技有限公司,50-150人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,西湖区,15k-30k,1-3年,本科,团队优秀、绩效奖金、餐补、月度团建
36,9343694,php开发工程师,51681,深圳市萌奇文化发展有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,后端开发,后端开发,上海,浦东新区,15k-25k,3-5年,本科,五险一金、团队氛围融洽
37,8507298,php开发工程师,34863,车轮互联科技（上海）股份有限公司,150-500人,工具类产品,D轮及以上,开发|测试|运维类,后端开发,PHP,上海,闵行区,20k-30k,3-5年,本科,氛围佳、福利好、发展空间大
38,9609252,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,14k-18k,3-5年,大专,长期稳定
39,8284248,php开发工程师,5998,北京易多客信息技术有限公司,15-50人,"软件服务｜咨询,工具类产品",不需要融资,开发|测试|运维类,后端开发,PHP,成都,锦江区,14k-28k,不限,本科,高薪酬福利；人性化管理；舒适便捷的办公环境
40,9612295,php开发工程师,614456,江苏九一网络科技有限公司,150-500人,企业服务,A轮,开发|测试|运维类,后端开发,PHP,南京,雨花台区,8k-12k,1-3年,本科,虚拟股权 年底分红 五险一金 周末双休
41,7612010,php开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,8k-15k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
42,8335774,php开发工程师,327740,广州九一乐维信息科技有限公司,15-50人,"企业服务,信息安全",不需要融资,开发|测试|运维类,后端开发,PHP,广州,白云区,7k-13k,1年以下,大专,六险一金、超长年假、下午茶节日福利、体检旅游
43,9582850,php开发工程师,206607,深圳纳实大数据技术有限公司,50-150人,,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,15k-25k,1-3年,本科,腾讯云旗下大数据公司，平台大，福利待遇优
44,7615304,php工程师,314155,钰真（上海）信息技术有限公司,150-500人,"电商平台,制造业",未融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,15k-20k,3-5年,本科,扁平管理 做五休二 轻松活跃办公氛围
45,9306687,高级php开发工程师,310001,四川易贷网金融信息服务有限公司,500-2000人,科技金融,未融资,开发|测试|运维类,后端开发,PHP,成都,锦江区,13k-17k,3-5年,本科,双休、六险一金、员工旅游、假日福利
