,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
95,8382526,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,福州,马尾区,10k-18k,在校/应届,本科,前端开发
96,8648290,前端开发工程师,5858,瑞庭网络技术（上海）有限公司,500-2000人,居住服务,上市公司,开发|测试|运维类,前端开发,WEB前端,上海,浦东新区,15k-25k,1-3年,本科,团队大，专业度高
97,8878803,前端工程师,123402347,深圳市禾乐惠信息科技股份有限公司,15-50人,"物流｜运输,软件服务｜咨询",未融资,开发|测试|运维类,前端开发,WEB前端,深圳,南山区,13k-17k,3-5年,本科,注重个人成长，高潜力赛道
98,9629763,前端开发工程师,39129,广州海鹚网络科技有限公司,150-500人,工具类产品,C轮,开发|测试|运维类,前端开发,WEB前端,长沙,岳麓区,8k-15k,3-5年,本科,双休 技术峰会
99,9046081,前端开发工程师,82795373,北京波粒子科技有限公司,15-50人,社交平台,A轮,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,15k-30k,1-3年,本科,精英团队、期权激励、高速成长、氛围活跃
100,9465084,前端开发工程师,28756,北京竹间科技有限公司,50-150人,"移动互联网,医疗丨健康",A轮,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,12k-24k,3-5年,大专,成长型团队、技术大牛、核心业务
101,9066660,前端工程师,98800,竹间智能科技（上海）有限公司,150-500人,人工智能服务,C轮,开发|测试|运维类,前端开发,WEB前端,北京,海淀区,20k-30k,5-10年,本科,行业前景好、待遇优厚、工作氛围简单、六险一金
102,8552981,前端架构师,8558,成都书声科技有限公司,2000人以上,在线教育,B轮,开发|测试|运维类,前端开发,WEB前端,成都,武侯区,25k-40k,5-10年,本科,零食下午茶，五险一金，年终奖......
103,8611162,前端工程师,22279,邑盟信息技术（上海）有限公司,500-2000人,"移动互联网,广告营销",D轮及以上,开发|测试|运维类,前端开发,HTML5,北京,朝阳区,20k-30k,3-5年,本科,不打卡 福利待遇好 氛围轻松 同事nice
104,9514618,前端开发工程师,410579,建信金融科技有限责任公司,2000人以上,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,深圳,福田区,25k-50k,5-10年,本科,最高比例五险一金、国企、薪酬有竞争力
105,9323783,前端开发工程师,120593385,慧博云通科技股份有限公司,2000人以上,IT技术服务｜咨询,未融资,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,15k-22k,3-5年,大专,技术提升
106,5857903,前端开发工程师,67300,思特沃克软件技术（成都）有限公司,2000人以上,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,前端开发,WEB前端,深圳,南山区,20k-40k,5-10年,不限,外企背景 追求技术卓越 扁平化管理
107,5710038,前端开发工程师,67300,思特沃克软件技术（成都）有限公司,2000人以上,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,前端开发,WEB前端,成都,武侯区,15k-30k,不限,本科,外企背景 追求技术卓越 扁平化管理 不加班
108,9366451,前端开发工程师,35630,北京升鑫网络科技有限公司,500-2000人,信息安全,C轮,开发|测试|运维类,前端开发,WEB前端,北京,通州区,20k-40k,3-5年,本科,弹性不打卡 团队大牛 下午茶 发展空间大
109,9623568,前端开发工程师,117843335,深圳市租享生活科技有限公司,50-150人,电商平台,不需要融资,开发|测试|运维类,前端开发,WEB前端,深圳,南山区,18k-25k,3-5年,本科,晋升空间大；公司背景强
110,5696492,前端开发工程师,288733,杭州达西信息技术有限公司,150-500人,"软件服务｜咨询,数据服务｜咨询",不需要融资,开发|测试|运维类,前端开发,WEB前端,杭州,滨江区,10k-18k,1-3年,本科,"技术挑战大,工作氛围好,福利待遇优"
111,7919356,前端开发工程师,288733,杭州达西信息技术有限公司,150-500人,"软件服务｜咨询,数据服务｜咨询",不需要融资,开发|测试|运维类,前端开发,WEB前端,杭州,滨江区,12k-18k,1-3年,本科,氛围好 五险一金
112,9459011,前端开发工程师,122382401,网思科技股份有限公司,500-2000人,"信息安全,通讯电子",不需要融资,开发|测试|运维类,前端开发,WEB前端,成都,武侯区,8k-12k,1-3年,大专,发展前景大 公司氛围好 不加班
113,9582988,前端开发工程师,160233,深圳唐牛科技有限公司,150-500人,"移动互联网,金融",A轮,开发|测试|运维类,前端开发,WEB前端,深圳,宝安区,10k-18k,1-3年,本科,周末双休
114,9624629,前端开发工程师,124417586,广州酷校信息科技有限公司,15-50人,软件服务｜咨询,未融资,开发|测试|运维类,前端开发,WEB前端,广州,番禺区,10k-15k,1-3年,大专,发展空间大
115,5236323,前端工程师,463729,上海找银网络科技有限公司,50-150人,"电商,金融",未融资,开发|测试|运维类,移动前端开发,WEB前端,上海,浦东新区,13k-25k,不限,大专,"弹性上班,自由度大,团队和谐,不加班"
116,9629637,前端工程师,122499704,江苏种梦客网络科技有限公司,50-150人,软件开发,未融资,开发|测试|运维类,前端开发,WEB前端,南京,栖霞区,10k-20k,3-5年,大专,五险一金 节日福利
117,9367208,前端开发工程师,51681,深圳市萌奇文化发展有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,前端开发,WEB前端,上海,浦东新区,15k-20k,不限,本科,五险一金、生日福利、节日福利
118,8991987,前端工程师,123368138,北京地平线云数科技有限公司,少于15人,"数据服务｜咨询,人工智能服务,软件服务｜咨询",天使轮,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,10k-20k,1-3年,本科,大牛带队，试用期不打折，加班少，团队好，双休
119,9569443,前端开发工程师,529198,深圳元戎启行科技有限公司,150-500人,人工智能服务,B轮,开发|测试|运维类,前端开发,WEB前端,深圳,福田区,15k-30k,1-3年,本科,六险一金 餐补 大牛多 氛围好
